code,side,qty,price,date,strategy
001040,buy,1,129100,2026-08-18,#저변동
001040,buy,2,136700,2026-08-11,#저변동
088980,buy,10,9580,2026-08-18,#배당
088980,buy,26,9760,2026-08-13,#스윙
088980,sell,26,9625,2026-08-13,#스윙
950190,buy,30,8560,2026-08-18,#저변동
015760,buy,5,31250,2026-08-24,#저변동
015760,sell,6,40500,2026-06-16,#스윙
015760,buy,6,38050,2026-06-05,#스윙
249420,buy,6,15900,2026-07-03,#저변동
249420,buy,13,16780,2026-07-01,#저변동
249420,sell,12,16650,2026-06-23,#스윙
249420,buy,3,23500,2026-06-01,#스윙
249420,sell,1,22900,2026-05-22,#스윙
249420,buy,10,21000,2026-05-18,#스윙
050890,sell,10,10320,2026-08-05,#저변동
050890,buy,10,10080,2026-07-06,#저변동
050890,buy,10,9910,2026-07-03,#저변동
050890,buy,22,10490,2026-07-02,#저변동
039200,buy,1,35550,2026-08-27,#저변동
039200,sell,3,38850,2026-08-14,#저변동
039200,sell,3,34800,2026-08-06,#저변동
039200,buy,3,32400,2026-07-06,#저변동
039200,buy,3,33800,2026-07-03,#저변동
039200,buy,6,36100,2026-07-01,#저변동
035720,buy,7,36100,2026-08-26,#저변동
035720,sell,4,37400,2026-08-06,#모멘텀
035720,sell,2,38900,2026-08-05,#모멘텀
035720,buy,6,34550,2026-07-07,#모멘텀
462870,buy,7,32500,2026-08-05,#저변동
352820,buy,1,180100,2026-08-12,#저변동
352820,buy,1,177700,2026-08-12,#저변동
383220,buy,3,67000,2026-08-12,#저변동
383220,buy,2,65800,2026-08-12,#저변동
215000,buy,9,35550,2026-08-18,#저변동
376300,buy,14,18650,2026-08-19,#저변동
005690,buy,24,11200,2026-08-07,#저변동
004430,sell,9,9530,2026-06-26,#스윙
004430,buy,9,11770,2026-05-26,#스윙
199820,sell,9,9980,2026-06-18,#스윙
199820,buy,2,10180,2026-06-05,#스윙
199820,buy,7,13930,2026-05-26,#스윙
389650,sell,5,49900,2026-06-05,#스윙
389650,buy,5,44450,2026-05-29,#스윙
460930,sell,12,12690,2026-06-23,#스윙
460930,buy,12,16460,2026-05-29,#스윙
052690,sell,2,142400,2026-06-18,#스윙
052690,buy,2,139350,2026-05-18,#스윙
004310,sell,27,7560,2026-06-16,#스윙
004310,buy,27,7320,2026-05-18,#스윙
103140,sell,3,85800,2026-05-27,#스윙
103140,buy,3,85600,2026-05-18,#스윙
272550,sell,20,8230,2026-06-23,#스윙
272550,buy,20,10160,2026-05-18,#스윙
004980,sell,27,7850,2026-06-23,#스윙
004980,buy,27,9611,2026-05-19,#스윙
000390,sell,13,6050,2026-06-23,#스윙
000390,buy,13,7700,2026-05-22,#스윙
011930,sell,5,21100,2026-06-18,#스윙
011930,sell,2,31500,2026-05-22,#스윙
011930,buy,7,27300,2026-05-21,#스윙
025860,sell,27,6320,2026-06-18,#스윙
025860,buy,27,7450,2026-05-27,#스윙
042370,sell,17,9680,2026-06-23,#스윙
042370,buy,17,13140,2026-06-01,#스윙
005880,sell,106,2075,2026-06-18,#스윙
005880,buy,106,1901,2026-06-10,#스윙
460860,sell,36,8610,2026-06-26,#스윙
460860,buy,12,9420,2026-06-19,#스윙
460860,buy,24,10040,2026-06-16,#스윙
095340,sell,3,192800,2026-06-25,#스윙
095340,sell,1,190400,2026-06-25,#스윙
095340,buy,2,192400,2026-06-23,#스윙
095340,buy,1,191400,2026-06-23,#스윙
095340,buy,1,190000,2026-06-18,#스윙
263750,sell,5,34500,2026-06-26,#스윙
263750,buy,5,39250,2026-06-18,#스윙
007660,sell,4,115900,2026-06-25,#스윙
007660,buy,2,114900,2026-06-23,#스윙
007660,buy,2,109100,2026-06-23,#스윙
003720,sell,44,6540,2026-06-26,#스윙
003720,buy,22,6900,2026-06-24,#스윙
003720,buy,22,7240,2026-06-23,#스윙
099320,buy,3,88900,2026-06-25,#스윙
099320,buy,1,87600,2026-06-25,#스윙
099320,sell,4,84200,2026-06-25,#스윙
373220,sell,1,340500,2026-06-26,#스윙
373220,buy,1,362000,2026-06-25,#스윙
031210,sell,5,41450,2026-06-30,#스윙
031210,buy,5,40600,2026-06-25,#스윙
071970,sell,6,58800,2026-06-29,#스윙
071970,buy,2,55800,2026-06-26,#스윙
071970,buy,4,59400,2026-06-25,#스윙
017800,sell,3,72100,2026-08-11,#저변동
017800,buy,3,71100,2026-07-08,#저변동
017800,sell,2,70700,2026-07-03,#스윙
017800,sell,1,70500,2026-07-03,#스윙
017800,buy,3,69600,2026-06-26,#스윙
028050,sell,1,45600,2026-07-03,#스윙
028050,sell,2,50500,2026-07-01,#스윙
028050,sell,4,50500,2026-07-01,#스윙
028050,buy,5,42400,2026-06-26,#스윙
028050,buy,2,41000,2026-06-26,#스윙
064350,sell,2,174600,2026-06-30,#스윙
064350,buy,1,172400,2026-06-26,#스윙
064350,buy,1,166300,2026-06-26,#스윙
105840,sell,13,16350,2026-07-02,#스윙
105840,buy,13,15560,2026-06-26,#스윙
021240,sell,3,94900,2026-07-03,#스윙
021240,buy,3,85300,2026-06-26,#스윙
037270,sell,44,3580,2026-08-12,#저변동
037270,buy,44,3235,2026-08-04,#저변동
037270,sell,70,3305,2026-07-03,#스윙
037270,buy,70,3115,2026-06-26,#스윙
007340,sell,6,37000,2026-07-03,#스윙
007340,buy,6,36200,2026-06-26,#스윙
267250,sell,1,200000,2026-07-01,#스윙
267250,buy,1,198600,2026-06-30,#스윙
083650,sell,5,54000,2026-08-12,#저변동
083650,sell,1,53800,2026-08-06,#저변동
083650,buy,2,51400,2026-07-06,#저변동
083650,buy,4,54500,2026-06-30,#저변동
006280,sell,2,132700,2026-08-12,#스윙
006280,sell,2,126900,2026-08-07,#스윙
006280,buy,2,123300,2026-07-10,#스윙
006280,buy,2,130200,2026-06-18,#스윙
257720,sell,7,36450,2026-07-08,#저변동
257720,buy,7,31700,2026-06-30,#저변동
103590,sell,2,72400,2026-08-12,#저변동
103590,sell,3,72300,2026-08-12,#저변동
103590,buy,2,69900,2026-07-06,#저변동
103590,buy,3,72900,2026-06-30,#저변동
272210,sell,2,75600,2026-08-19,#저변동
272210,sell,1,83100,2026-08-18,#저변동
272210,sell,1,82800,2026-08-14,#저변동
272210,sell,1,72000,2026-08-10,#저변동
272210,sell,1,68300,2026-07-07,#저변동
272210,buy,1,68300,2026-07-07,#저변동
272210,buy,2,70000,2026-07-03,#저변동
272210,buy,3,74300,2026-06-30,#저변동
003550,sell,1,106300,2026-08-10,#모멘텀
003550,buy,1,100700,2026-07-13,#모멘텀
443060,sell,1,203000,2026-08-11,#저변동
443060,buy,1,199900,2026-07-09,#저변동
017670,sell,2,91200,2026-08-04,#모멘텀
017670,sell,1,105000,2026-07-27,#모멘텀
017670,buy,3,85800,2026-07-13,#모멘텀
003490,sell,1,25900,2026-08-04,#모멘텀b
003490,buy,1,25300,2026-07-22,#모멘텀b
326030,sell,3,80700,2026-08-06,#저변동
326030,buy,3,78300,2026-07-22,#저변동
036570,sell,1,234500,2026-08-06,#저변동
036570,buy,1,223500,2026-07-31,#저변동
030200,sell,5,53600,2026-08-14,#저변동
030200,buy,5,52000,2026-07-31,#저변동
114090,sell,30,9370,2026-08-13,#저변동
114090,buy,30,9240,2026-08-06,#저변동
058470,sell,4,71500,2026-08-14,#저변동
058470,buy,4,67200,2026-08-06,#저변동
140860,sell,1,283000,2026-08-14,#저변동
140860,buy,1,252000,2026-08-06,#저변동
003690,sell,15,14500,2026-08-20,#스윙
003690,buy,15,14370,2026-08-12,#스윙
011200,sell,13,21700,2026-08-26,#스윙
011200,buy,13,21100,2026-08-13,#스윙
