h,subset,factor,mean_ic,n_anchor,ci_lo,ci_hi,pos
5,전체,sv5,0.1117103698126505,18,0.07224778144065909,0.15171921638412053,0.8888888888888888
5,전체,sv20,0.12034110581943813,18,0.07674999117228473,0.1671422312486997,0.8888888888888888
5,전체,sv_chg,0.009079934109694116,17,-0.022611803462393255,0.04008975899189889,0.6470588235294118
5,전체,sval_amt,0.12393499643356365,18,0.08347386241027907,0.16681865280177013,0.8888888888888888
5,전체,credit,0.014041267254684325,6,-0.062164738376436525,0.09931494844456143,0.3333333333333333
5,전체,credit_chg,-0.17740610873176144,1,,,0.0
5,전체,fgn5,-0.0010720156186250654,14,-0.044934690866586774,0.039030898714336515,0.6428571428571429
5,전체,fgn20,-0.006400183155162471,12,-0.041383756870838256,0.03460410641259416,0.4166666666666667
5,전체,inst20,-0.008278040207351605,12,-0.036152812968043346,0.01983121091336995,0.4166666666666667
5,전체,person20,-0.0023724186853034124,12,-0.04184044442536533,0.03591168919424122,0.5833333333333334
5,전체,lv63,-0.13016380110417472,23,-0.21563322461257753,-0.040081746458287756,0.391304347826087
5,전체,nh252,0.03921464160881133,23,-0.02600911697134185,0.09465542322489788,0.782608695652174
5,전체,r20,0.008828458648301342,23,-0.05363403815946282,0.07120696897205338,0.5652173913043478
5,저변동⅓,sv5,0.08914425129657405,18,0.04456889979192515,0.1323757916604693,0.8333333333333334
5,저변동⅓,sv20,0.08918533967529296,18,0.04295259060155866,0.13608939540586482,0.7222222222222222
5,저변동⅓,sv_chg,0.028862911639370197,17,0.0025180733542392577,0.05547129741111271,0.7058823529411765
5,저변동⅓,sval_amt,0.08507910063415883,18,0.04094114387645899,0.1296930626431633,0.7777777777777778
5,저변동⅓,credit,-0.03964183086670409,6,-0.20406582451373614,0.14243174649622498,0.3333333333333333
5,저변동⅓,credit_chg,-0.30537715655267245,1,,,0.0
5,저변동⅓,fgn5,0.0043369591244439756,14,-0.031082455784317318,0.03788460665503142,0.7142857142857143
5,저변동⅓,fgn20,-0.00889095215234991,12,-0.03277452380966336,0.016622175963562365,0.4166666666666667
5,저변동⅓,inst20,-0.03017685286378675,12,-0.06809341217747412,0.008619356477065394,0.25
5,저변동⅓,person20,0.007419108030295989,12,-0.03420790471716523,0.046983863323301046,0.6666666666666666
5,저변동⅓,lv63,-0.05640462011982174,23,-0.13248435856425944,0.020783432212139262,0.391304347826087
5,저변동⅓,nh252,0.015176800528344523,23,-0.06259573575140372,0.08910425641986033,0.6086956521739131
5,저변동⅓,r20,-0.011479834773663496,23,-0.07640697145013647,0.04883323050131397,0.4782608695652174
5,대금상위½,sv5,0.1582027323159547,18,0.09486854017047831,0.22194046082033478,0.8333333333333334
5,대금상위½,sv20,0.1665568887958334,18,0.10273602653208702,0.23465159795102825,0.8333333333333334
5,대금상위½,sv_chg,0.011765533287198442,17,-0.023005896667760133,0.046137784607207716,0.5882352941176471
5,대금상위½,sval_amt,0.1740351557376098,18,0.11560090845525921,0.2372326261567033,0.9444444444444444
5,대금상위½,credit,0.007921427149072712,6,-0.07668740373580377,0.10302517540276458,0.3333333333333333
5,대금상위½,credit_chg,-0.19626060873904344,1,,,0.0
