factor,IC,ci_lo,ci_hi,n,top10_abs%,top10_exc%,IC24,IC25,IC26
lv63,0.13733829683967172,0.07861490109503275,0.1947917288380902,23,0.9138614480437082,2.523933153840012,0.11793689086892223,0.14149740025014315,0.14518792832768676
max5,0.12411008054485877,0.07408527769691886,0.1685168995091893,23,0.893280838132285,2.5033525439285884,0.12973760230200287,0.12916131940433412,0.10931800136162129
big,0.1142250266886272,0.06490165794803585,0.16262346850672965,23,3.8234863090410665,5.433558014837371,0.049736987853681525,0.12222234481625582,0.1519704227958247
nh252,0.053094791537116076,0.0001164564227020769,0.10208879754459187,23,2.5038693904537377,4.1139410962500405,-0.026344399413674596,0.04476425688334167,0.13595518663699047
upratio63,0.05184911502865761,0.01140694077413468,0.09236084244438494,23,3.1701124231853504,4.780184128981654,-0.005043257635400075,0.0588135622565242,0.08533053112630588
mom12,0.03197598468455302,-0.0057724569472767,0.07135227652346784,23,2.2326764419115888,3.8427481477078924,0.005257909351202994,0.028687406984735948,0.06081820286197881
volmom,0.026085167762169566,-0.009749102612766163,0.0628963467802105,23,3.1350907601770426,4.7451624659733485,-0.009202712944721855,0.013012286566328232,0.08163749740959507
nh_fresh,0.009539710525490672,-0.011924574830825723,0.033011444301640255,23,1.9498833131598092,3.5599550189561135,-0.005618630637409444,-0.00273555085015584,0.046722184245867125
fip,0.0009974587918668667,-0.021551898346974907,0.024333296891589692,23,-0.5478833976760789,1.0621883081202248,-0.007179406217263909,-0.0096588431859201,0.029124116921716445
amt_trend,-0.04424354569166559,-0.08045673714383443,-0.01082886709794311,23,-0.6474109922094785,0.9626607135868253,-0.061357184782767395,-0.04517235484649637,-0.028124561472752458
obv63,-0.08141299275678872,-0.10978251996697402,-0.05263827389054718,23,-0.8852108316305499,0.724860874165754,-0.07593204556761306,-0.08781756168891675,-0.07317131088351238
amihud,-0.08489188094613795,-0.12667454560378696,-0.04492914105996147,23,-1.270646631447182,0.33942507434912184,-0.04424070518875022,-0.08869189968646253,-0.11116782326331189
