anchor,rate,n,mk20
20240717,0.007662835249042145,1305,-6.339446112296687
20240718,0.007668711656441718,1304,-4.395243653341108
20240719,0.010015408320493066,1298,-6.184235930109083
20240722,0.012326656394453005,1298,-2.7803842165045167
20240723,0.00539291217257319,1298,-3.9710880165492735
20240724,0.006971340046475601,1291,-5.00828983727356
20240725,0.006201550387596899,1290,-3.0139597887845038
20240726,0.0038550501156515036,1297,-3.858016951702692
20240729,0.002320185614849188,1293,-5.326798598992555
20240730,0.0022988505747126436,1305,-5.135733658463759
20240731,0.004542013626040878,1321,-5.865653987424513
20240801,0.003808073115003808,1313,-5.638390716998765
20240802,0.006854531607006854,1313,-1.2985513197233511
20240805,0.017964071856287425,1336,9.994502951047334
20240806,0.008178438661710037,1345,-0.15282382960143392
20240807,0.008988764044943821,1335,-3.107382371015577
20240808,0.008245877061469266,1334,-5.1913374838986615
20240809,0.0052750565184626974,1327,-6.536896772758771
20240812,0.003014318010550113,1327,-8.608551609897496
20240813,0.0044943820224719105,1335,-7.248385325419038
20240814,0.002245508982035928,1336,-5.895755828173488
20240816,0.0030188679245283017,1325,-6.756705200106827
20240819,0.006726457399103139,1338,-4.882503504958391
20240820,0.006024096385542169,1328,-4.966727623691969
20240821,0.00830188679245283,1325,-3.1736058573864856
20240822,0.0075815011372251705,1319,-0.791239479229966
20240823,0.007593014426727411,1317,-1.8053436101699294
20240826,0.011467889908256881,1308,1.6158270191316992
20240827,0.00844205679201842,1303,1.2471403359696653
20240828,0.008403361344537815,1309,0.18098360655738333
20240829,0.008422664624808576,1306,0.8055129358235158
20240830,0.007692307692307693,1300,0.17195112419561287
20240902,0.008520526723470178,1291,1.5340414191183038
20240903,0.010408326661329063,1249,2.350171626971087
20240904,0.012165450121654502,1233,5.97608472839084
20240905,0.013776337115072933,1234,6.301014780498582
20240906,0.020850040096230954,1247,9.010883256202318
20240909,0.01952807160292921,1229,8.30697309856394
20240910,0.0163265306122449,1225,8.438119512885866
20240911,0.018760195758564437,1226,7.843026697865851
20240912,0.0074503311258278145,1208,3.0354431418683214
20240913,0.010842368640533779,1199,3.6483906164757274
