factor,n10,lift_D10,ev10,lift_D1,ev1,D10_meanfw,D10_P(-30),L24,L25,L26
dlow52,29252,2.0364835041549214,1041,0.6225218380962222,662,0.028996348,5.849172706139751,1.3758982549438161,2.442672396473252,1.9847046791862362
mom63,21841,1.965053941181787,750,1.1318118657384602,1165,-1.4382628,6.28176365551028,1.5148896926408346,2.3090649128189393,1.8829116434508946
bbw20,20506,1.852989072329356,664,0.29992519314402055,326,-1.8019685,7.193016678045449,2.3644419331863777,2.219385052034059,1.2796432353761882
ret5,17897,1.8225537675759662,570,1.5090212828121752,1268,-0.7073834,5.190814102922277,1.9982653603132847,2.053556539950582,1.6209072359377952
rv21,22597,1.7650935351983557,697,0.2167177412970802,226,-2.8013701,8.005487454086825,2.3716595646591263,1.902122975384221,1.3833517827262196
sma60gap,6622,1.7196878853802338,199,1.1936898234500493,1291,-3.6451507,8.320749018423438,1.5377882324048242,2.15903530789826,1.5677446269301663
mom12_1,42833,1.687371032377554,1263,1.3410475306764464,963,0.41841006,4.564237853991082,1.096635436043913,1.7566842082199126,1.9219786209987446
max21,20454,1.6506670868822615,590,0.3117444256120749,337,-2.3378758,6.585508946905251,2.18651782924204,1.797341403616304,1.2763208379034514
sma20gap,6300,1.4533331006764498,160,1.4021670664204249,1472,-2.4102478,6.476190476190475,2.0813630227130053,1.797078004263256,0.814918834671046
turn20,30016,1.450833489758192,761,0.32663717998253855,319,-3.1138325,5.740271855010661,1.7461356914494168,1.6977168934975155,1.0588898214072986
vol_dry,23271,1.3697013406127074,557,0.7804560788180328,800,-0.5562883,3.3904860126337506,1.7570593903669218,1.4314061608109436,1.1540095513228872
amt20,35160,1.293909775799559,795,0.7552787922481609,733,1.8809023,2.4459613196814565,0.9046283171718499,1.4454647607759028,1.3647383202732453
nh_fresh,30533,1.1657532604703797,622,1.0082167280285061,116,0.08198097,2.024039563750696,0.8423774677811233,1.2001633020396882,0.984439638503775
amihud63,34744,1.1595208827639647,704,0.997089491228577,778,-1.2469947,3.5891089108910887,1.157706803745171,1.1935701971002093,1.1230409480510932
upr63,33584,1.100742737079602,646,1.1423545500220993,1065,1.50989,1.855050023820867,0.9342372715401627,1.1850076694323612,1.1461559664519638
rv_ratio,24199,0.9837429723988697,416,0.9071652497380968,937,-0.9055851,2.8554898962767057,1.5026842477932598,0.9887911688613703,0.7440271209114007
amt_trend,21215,0.9386894561404221,348,0.9791968164972357,1021,-1.0132601,2.3851048786236153,1.1175446917236262,1.0462612286445871,0.7790164363971314
obv63,33156,0.8750473626324512,507,0.8101528943532796,816,-1.6659143,2.901435637591989,1.1061866379805516,0.9047793271756405,0.7471141591281483
size,45623,0.8479077177576092,676,1.1042165917444888,881,2.9433796,0.650987440545339,0.47597896510363996,0.8691846067055826,1.0497220883554987
zr20,50536,0.7643436127991188,675,,0,0.65329826,1.5058572107012824,0.8618188519580832,0.6273838804745837,0.8978856219471483
price,45162,0.7627971410734554,602,1.328384291027742,1119,2.0923502,0.8834861166467385,0.3970361710480526,0.6584189616209127,1.1093281859742632
mom21,611,0.7492633825091354,8,1.3207367588032912,1460,-6.694256,14.238952536824879,,,
dd52,21404,0.5213452258284137,195,1.2935064739717497,1174,1.1366987,0.9530928798355447,0.19604494063948483,0.5943934386498336,0.847469528404977
