c1,c2,n,events,lift
rv21↑,rv_ratio↓,4012,186,2.6530030648253113
sma20gap↑,bbw20↑,3497,149,2.438239529605704
rv21↑,amt20↓,5295,221,2.388427379688174
dlow52↑,obv63↓,7339,295,2.300227864497191
rv_ratio↓,max21↑,3114,123,2.2603320080968627
vol_dry↑,bbw20↑,8692,337,2.2186863682453484
dlow52↑,price↓,6953,267,2.1974791534660008
amt20↓,bbw20↑,6070,233,2.1966100272682874
rv_ratio↓,sma60gap↑,4960,190,2.1920863426281634
turn20↑,sma20gap↑,5438,208,2.1888190685068265
turn20↑,sma60gap↑,9130,349,2.187461314661357
dd52↓,upr63↑,4767,181,2.1727970089959037
turn20↑,dlow52↑,17275,655,2.169746396505561
turn20↑,upr63↑,9104,342,2.1497085750202376
bbw20↑,upr63↑,6407,240,2.1435926020590683
bbw20↑,ret5↑,6943,259,2.134707277450097
dlow52↑,ret5↑,12118,452,2.134485547061323
dd52↓,mom63↑,4565,168,2.105979947639587
amt_trend↓,max21↑,4606,169,2.099657718587462
turn20↑,mom63↑,17976,655,2.0851340119956365
rv21↑,amt_trend↓,6062,220,2.076789505874257
amt20↑,dlow52↑,26348,954,2.071984259167109
turn20↑,nh_fresh↓,4397,159,2.0693139739418918
dlow52↑,amihud63↓,25309,914,2.0666024586893825
bbw20↑,amihud63↑,13878,500,2.061716055596455
dlow52↑,upr63↓,7721,277,2.053014177236168
rv21↑,mom63↑,15740,564,2.0505015777174247
obv63↑,amihud63↓,4463,159,2.038712422904436
rv21↑,vol_dry↑,11973,426,2.036068328528489
bbw20↑,mom63↑,10709,381,2.0359250639378574
rv21↑,ret5↑,10182,362,2.0345164686473134
rv21↑,dlow52↑,16755,594,2.028746318021266
sma60gap↑,bbw20↑,4910,174,2.0279324655823885
turn20↑,ret5↑,9265,328,2.0258820286277768
dlow52↑,size↑,19244,679,2.019110828298317
mom12_1↑,ret5↑,12804,451,2.0156568938183366
bbw20↑,price↓,15891,557,2.00580957129182
dlow52↑,obv63↑,11430,400,2.002624351325817
dlow52↑,mom63↑,27080,946,1.9990709502888444
turn20↑,dd52↑,3579,125,1.9986375677261532
turn20↑,bbw20↑,24166,841,1.9914846187086284
rv21↑,bbw20↑,28405,985,1.9843906346258822
sma20gap↓,sma60gap↑,3148,109,1.9814243969077947
sma20gap↑,mom12_1↑,6487,224,1.9760132492625693
vol_dry↑,dlow52↑,5393,186,1.9736414418837658
vol_dry↑,turn20↑,11035,380,1.970593250464103
mom21↓,max21↑,11684,402,1.9688844845371754
dlow52↑,price↑,20273,696,1.9646127176065755
sma60gap↑,dlow52↑,13760,472,1.9629502671563823
dlow52↑,mom12_1↑,52189,1789,1.9616300103702484
dlow52↑,ret5↓,18977,650,1.9600697710617005
amt20↓,max21↑,4920,168,1.9540240774338853
rv21↑,mom21↓,19987,680,1.9469151833998073
sma20gap↑,dlow52↑,7144,243,1.9464827511072027
dlow52↑,nh_fresh↓,7529,256,1.9457560970671557
bbw20↑,size↓,18474,626,1.9390951751271326
amt_trend↑,bbw20↑,11588,390,1.9259360051141465
turn20↑,mom12_1↑,18677,628,1.9241470389771864
dlow52↑,upr63↑,18247,612,1.9193124564887791
bbw20↑,mom12_1↓,11264,377,1.9152895548964821
bbw20↑,max21↑,20483,685,1.9137391361034817
dlow52↑,max21↑,13095,437,1.9096846885606784
sma20gap↑,dd52↓,4360,145,1.9031246953382124
rv21↑,price↓,19324,642,1.901182163047237
rv21↑,sma20gap↑,6419,213,1.8988819206630003
sma60gap↑,obv63↑,8661,287,1.8962674484276418
bbw20↑,upr63↓,17648,583,1.8904221248422388
rv21↑,upr63↑,8493,280,1.8866122023970164
rv21↑,upr63↓,17566,576,1.8764428283810703
rv21↑,sma60gap↑,9550,312,1.8695494389330036
rv21↑,dd52↓,19182,626,1.8675239425137444
dlow52↑,zr20↑,6224,203,1.8664320598239796
bbw20↑,dlow52↑,13054,425,1.8630780685332056
ret5↑,max21↑,9717,316,1.8609753118417958
amt_trend↑,dlow52↑,3451,112,1.8572005140490129
rv_ratio↓,dlow52↑,20458,663,1.8545394919516396
mom21↓,ret5↑,6715,217,1.8492662713465884
sma20gap↓,dlow52↑,21048,679,1.8460551491720263
sma60gap↑,mom12_1↑,11884,383,1.8442587926109717
sma20gap↑,size↓,5897,190,1.843776201362674
mom12_1↑,max21↑,12243,394,1.841594902443786
