c1,c2,c3,n,events,lift,meanfw20,P(-30)%
rv21↑,amt20↓,bbw20↑,2546,160,3.596228803716274,4.9757333,5.813040062843677
amt20↓,bbw20↑,rv21↑,2546,160,3.596228803716274,4.9757333,5.813040062843677
amt20↓,bbw20↑,rv_ratio↑,1734,107,3.5311845558174553,5.38043,5.651672433679354
vol_dry↑,bbw20↑,amihud63↑,3607,211,3.347511246758395,1.4574754,7.734959800388134
rv21↑,rv_ratio↓,dd52↓,1588,90,3.2432299593968317,-0.7094266,8.501259445843829
rv21↑,amt20↓,vol_dry↑,1607,91,3.240494191886312,4.656898,6.72059738643435
rv21↑,rv_ratio↓,bbw20↑,1998,112,3.2078072942858578,-0.3838639,7.257257257257257
vol_dry↑,bbw20↑,mom12_1↓,3058,164,3.0689661535703645,-0.64479125,7.7174623937213855
dlow52↑,obv63↓,amt20↑,2374,127,3.061320065952052,5.560086,3.0328559393428813
vol_dry↑,bbw20↑,size↓,3935,208,3.024853391242725,0.36121753,8.005082592121983
rv21↑,rv_ratio↓,turn20↑,2838,150,3.0245766828295566,-0.23325925,6.624383368569416
amt20↓,bbw20↑,price↓,3380,177,2.996693307256489,3.0513947,6.4792899408284015
rv21↑,amt20↓,mom21↓,2440,126,2.9550610023487858,2.3124864,6.926229508196721
rv21↑,amt20↓,sma20gap↓,2448,126,2.9454039402496064,0.96577525,6.454248366013073
rv21↑,rv_ratio↓,sma20gap↓,2198,113,2.9419581277626383,-0.19929162,5.686988171064604
dlow52↑,obv63↓,amihud63↓,3006,154,2.9316861574274196,5.031161,4.557551563539588
rv21↑,rv_ratio↓,mom12_1↑,2135,109,2.921556909351634,-1.7763296,7.634660421545668
rv21↑,rv_ratio↓,mom21↓,2256,115,2.917054054299889,-0.8257684,6.560283687943262
rv21↑,amt20↓,sma60gap↓,2686,135,2.8761629796289103,2.4092627,7.073715562174236
rv21↑,amt20↓,amt_trend↑,1781,89,2.8596430009449936,6.5213223,3.256597417181359
vol_dry↑,bbw20↑,amt_trend↑,3830,188,2.8089551639053316,0.24580024,7.362924281984334
rv21↑,amt20↓,price↓,3533,173,2.8021294693377845,3.5147214,5.774129634871214
amt20↓,bbw20↑,size↓,4519,218,2.7605771194803,1.921912,6.262447444124806
vol_dry↑,bbw20↑,price↓,3508,167,2.7242227679976,0.09167393,8.152793614595211
dlow52↑,obv63↓,size↑,2626,125,2.7239618640106253,4.7979083,3.7319116527037317
rv21↑,amt20↓,mom63↓,2842,135,2.7182877421827074,3.1134977,6.157635467980295
rv21↑,amt20↓,rv_ratio↑,2951,140,2.7148419916905895,3.322598,5.489664520501525
dlow52↑,price↓,sma60gap↓,2095,99,2.70418811125269,-0.11837062,4.677804295942721
sma20gap↑,bbw20↑,turn20↑,1822,86,2.701069820068951,-2.0499623,9.659714599341383
vol_dry↑,bbw20↑,upr63↓,3234,152,2.689609959044079,-0.2624878,6.122448979591836
rv21↑,amt20↓,dlow52↓,1987,92,2.649571795269471,1.1681013,6.290890790135883
rv21↑,amt20↓,dd52↓,3371,156,2.6482048563942726,0.96038246,6.822901216256303
dlow52↑,price↓,upr63↓,1773,82,2.646615481561809,-2.2415657,6.034968979131416
rv21↑,amt20↓,obv63↓,1991,92,2.64424869774005,2.1157308,5.123053741838272
dlow52↑,price↓,mom63↓,1522,69,2.5942998475035015,-0.0025384529,5.124835742444152
rv21↑,amt20↓,size↓,4548,206,2.591985073188622,1.788749,6.200527704485488
rv21↑,rv_ratio↓,dlow52↑,2336,105,2.572184947820718,-2.9551811,8.39041095890411
vol_dry↑,bbw20↑,ret5↑,2717,122,2.569543202935037,-1.0333092,8.575634891424365
rv21↑,rv_ratio↓,mom63↑,2587,115,2.543824486471028,-1.9491317,6.880556629300348
rv_ratio↓,max21↑,mom12_1↑,1554,69,2.5408779716218337,-1.5755788,7.5289575289575295
rv21↑,amt20↓,ret5↓,1961,87,2.538793576239043,1.4020116,5.303416624171342
vol_dry↑,bbw20↑,dd52↓,4536,201,2.535763482951097,-1.1151825,8.597883597883598
