,mean_signed_ic,n_anchors,ci_lo,ci_hi,승자백분위평균
lv63,0.14775337473309,24,0.08212967409605408,0.210294045053218,0.5957083695172649
rv21,0.14014046137730285,24,0.0847363983178158,0.1978524941877156,0.6076270720736933
big,0.11535387805536947,24,0.0721749593385545,0.15718840902328984,0.534312254824716
nh252,0.08213914841726491,24,0.04111160062306936,0.1215240009481908,0.5340348217809391
drawdown,0.08213914841726491,24,0.04111973760432884,0.12301020440065837,0.5340348217809391
mom12,0.03812989161621597,24,0.003556025137602804,0.06828836381646886,0.5722471982590379
vol_exp,0.003983024951306732,24,-0.022329494424371522,0.03064648452075724,0.5300430752636432
sma20,-0.0173519721305104,24,-0.056015906973772185,0.01884451324749856,0.5658628516869734
amt20,-0.021956088920193444,24,-0.07214070419134436,0.028838879398006154,0.5857751694425936
mom_1m,-0.033753787552666774,24,-0.0649833041013613,-0.002087873722156415,0.5646547775848482
