factor,label,h,IC,ci_lo,ci_hi,n_days,pct_pos
rv21,실현변동성21,5,-0.2987414886549552,-0.3489338763339843,-0.24521054316186616,31,0.03225806451612903
dd52,52주고점대비낙폭,5,0.13790120520279076,0.10585885076905871,0.16959446643457354,31,0.9354838709677419
dlow52,52주저점대비거리,5,-0.17835699564104898,-0.2247564317913248,-0.13493042800070537,31,0.06451612903225806
mom21,1개월수익,5,0.09843474742817557,0.05151964548355729,0.14299349342635775,31,0.8064516129032258
mom63,3개월수익,5,-0.024604773016617038,-0.05601143667105365,0.006275456217626774,31,0.3548387096774194
mom12_1,12-1모멘텀,5,-0.13262386948330976,-0.18645197957932239,-0.07897985457390835,31,0.12903225806451613
ret5,직전1주수익(반전),5,0.03276558796881157,-0.005154542105272564,0.0685449729761572,31,0.5806451612903226
sma20gap,SMA20이격,5,0.11256794850435949,0.07179139293614395,0.15089361597469694,31,0.8387096774193549
max5_21,복권성(최대급등),5,-0.24766360497443707,-0.2867075053098476,-0.2088683655271411,31,0.0
upr63,상승일비율63,5,-0.0178190526451093,-0.04227006175940633,0.004767516610672891,31,0.4838709677419355
amihud63,비유동성,5,-0.0017876859371276602,-0.04327260495647503,0.03638886283254761,31,0.5806451612903226
obv63,OBV매집,5,-0.1644158584066579,-0.19661871000793962,-0.13271670159173754,31,0.03225806451612903
amt20,거래대금20,5,-0.12506085856969096,-0.1642189046675528,-0.08430123533631101,31,0.16129032258064516
amt_trend,거래대금팽창,5,0.039982877504788926,0.009450177493134598,0.07113837485231458,31,0.7096774193548387
size,시가총액,5,0.09804383992792554,0.06397231284948791,0.1335091194425961,31,0.8709677419354839
turn20,회전율,5,-0.3051878354592938,-0.34784829886837654,-0.2601141446407617,31,0.0
vol_exp,변동성팽창(std5/21),5,-0.003648074481844139,-0.03136930626473759,0.023513918102348617,31,0.5161290322580645
svr5,공매도비중5d,5,0.1751072721294603,0.1467506671805036,0.20403032047033715,31,0.967741935483871
frg5n,외인5d,5,0.002272978446568119,-0.02247515680689513,0.026475116424936385,31,0.5483870967741935
frg20n,외인20d,5,-0.05283359038778813,-0.06938707266227015,-0.036227408616800266,31,0.0967741935483871
ins5n,기관5d,5,-0.06694342327942672,-0.08888726766620822,-0.04609554434959965,31,0.06451612903225806
