factor,tilt_med,tilt_mean,tilt_std,n_days,label,def
amihud63,0.0195781496287048,0.0044258196581475825,0.11016603363881775,16,비유동성,h20>0
amt20,-0.08057500593401376,-0.03856545752819271,0.1023176074346609,16,거래대금20,h20>0
amt_trend,0.08883515301721079,0.08642471835026723,0.049144639872030126,16,거래대금팽창,h20>0
credit_rate,,,,16,신용잔고율,h20>0
dcr20,,,,16,신용잔고율변화20,h20>0
dd52,0.14932479506342633,0.16926022419446754,0.054338910748700786,16,52주고점대비낙폭,h20>0
dlow52,-0.01668238128912286,0.019724554159704616,0.11648719316475618,16,52주저점대비거리,h20>0
frg20n,-0.011998200195475456,-0.015473038760646821,0.06473458222201768,16,외인20d,h20>0
frg5n,-0.015786021449828047,-0.0044182303961315846,0.07109986644989713,16,외인5d,h20>0
ins20n,0.04556323613762975,0.04508678236446407,0.06618192116136455,16,기관20d,h20>0
ins5n,0.01809984048526947,0.013178673107769389,0.06692113161649199,16,기관5d,h20>0
loanchg5,,,,16,대차잔고변화5,h20>0
max5_21,-0.08210487709993258,-0.03219498614216838,0.1259132967389675,16,복권성(최대급등),h20>0
mom12_1,-0.0647785733837814,-0.0036957850907626683,0.12367264403439207,16,12-1모멘텀,h20>0
mom21,0.13489940487128588,0.1462036099443115,0.06937030866159401,16,1개월수익,h20>0
mom63,0.04877391177473622,0.08645499571706898,0.10391856569220811,16,3개월수익,h20>0
obv63,-0.03973378707273473,-0.028588853626872582,0.06817825833897688,16,OBV매집,h20>0
pen20n,0.07893209853710859,0.07548441580249847,0.010683984046381616,16,연기금20d,h20>0
pen5n,0.057484850451319014,0.056265860400804425,0.016964392907301687,16,연기금5d,h20>0
per20n,-0.07118900522510105,-0.06735689995519459,0.06433953924818976,16,개인20d,h20>0
per5n,-0.018582834595625264,-0.03452281150556302,0.07573669129932727,16,개인5d,h20>0
ret5,0.10259311497904466,0.09906383956494069,0.08234816682222176,16,직전1주수익(반전),h20>0
rv21,-0.143297852589888,-0.07899886216760964,0.13734781670223983,16,실현변동성21,h20>0
size,0.07946675243419987,0.09481656327242977,0.06765711359394105,16,시가총액,h20>0
sma20gap,0.14291442197258114,0.16565693497013018,0.06820281955576343,16,SMA20이격,h20>0
svr5,0.06835533171645802,0.07090697979228174,0.04794788834286144,16,공매도비중5d,h20>0
tru20n,0.0632149125461478,0.06299256813344048,0.01647428593059545,16,투신20d,h20>0
tru5n,0.050619398452295905,0.044440380540482216,0.04123608144083577,16,투신5d,h20>0
turn20,-0.18743537269387292,-0.16727197921217354,0.07315974687003143,16,회전율,h20>0
upr63,0.040886916354222314,0.05470955059129155,0.08172552664499795,16,상승일비율63,h20>0
vol_exp,-0.02664784744119375,-0.021413712914506645,0.05512814013034258,16,변동성팽창(std5/21),h20>0
amihud63,0.010235924211832614,0.011155645536091486,0.15600415150537797,16,비유동성,h20>+10%
amt20,-0.0162393176499325,0.014920930545702947,0.14643309571945315,16,거래대금20,h20>+10%
amt_trend,0.04915423599493207,0.060367603225888224,0.08852372563618326,16,거래대금팽창,h20>+10%
credit_rate,,,,16,신용잔고율,h20>+10%
dcr20,,,,16,신용잔고율변화20,h20>+10%
dd52,0.16453231217038433,0.1934376200467193,0.0809253355079066,16,52주고점대비낙폭,h20>+10%
dlow52,0.0918931225160542,0.13763271964245108,0.1345240557082958,16,52주저점대비거리,h20>+10%
frg20n,0.02546870215435071,0.04691887669533032,0.06426316791530749,16,외인20d,h20>+10%
frg5n,0.029944919257198277,0.033692154287248435,0.07999260845459502,16,외인5d,h20>+10%
ins20n,0.11144854901085793,0.1011708035659042,0.06994085234852815,16,기관20d,h20>+10%
ins5n,0.021487711116908947,0.03934553191256611,0.08139208693772786,16,기관5d,h20>+10%
loanchg5,,,,16,대차잔고변화5,h20>+10%
max5_21,0.009746633800346849,0.08509960535009042,0.1544977982903753,16,복권성(최대급등),h20>+10%
mom12_1,0.05061083866082372,0.09207260285997411,0.1468849408640504,16,12-1모멘텀,h20>+10%
mom21,0.1264667138068899,0.17214683094644265,0.1045912312712805,16,1개월수익,h20>+10%
mom63,0.1718592431399607,0.1867819988687451,0.11239192517588054,16,3개월수익,h20>+10%
obv63,0.07992498708051637,0.05652154751478386,0.06218809147351156,16,OBV매집,h20>+10%
pen20n,0.07893209853710859,0.07548441580249847,0.010683984046381616,16,연기금20d,h20>+10%
pen5n,0.057484850451319014,0.056265860400804425,0.016964392907301687,16,연기금5d,h20>+10%
per20n,-0.12109162994372655,-0.10991175164941232,0.07652927730434707,16,개인20d,h20>+10%
per5n,-0.015319516650933895,-0.03586820790457326,0.08270273533036879,16,개인5d,h20>+10%
ret5,0.10089391843176992,0.10399549782377095,0.11760302305229253,16,직전1주수익(반전),h20>+10%
rv21,0.036280307078754015,0.05061317613701762,0.13714934254583291,16,실현변동성21,h20>+10%
size,0.06944151284757372,0.08245107826046208,0.1347220103009341,16,시가총액,h20>+10%
sma20gap,0.12009116490119132,0.15353818668786023,0.11490266674346748,16,SMA20이격,h20>+10%
svr5,-0.005854430379746839,-0.006512013705899027,0.06175055105387549,16,공매도비중5d,h20>+10%
tru20n,0.0604416400846432,0.0511626541691784,0.04587354327374029,16,투신20d,h20>+10%
