factor,label,IC_all,IC_mkup,IC_mkdn,up_minus_dn,corr_with_mk
rv21,실현변동성21,-0.2987414886549552,-0.1348143565040808,-0.3557596215769985,0.22094526507291767,0.7761458056642281
dd52,52주고점대비낙폭,0.13790120520279076,0.04891335914740521,0.16885349948292488,-0.11994014033551967,-0.620241137973879
dlow52,52주저점대비거리,-0.17835699564104898,-0.05505127100692829,-0.22124594333987357,0.16619467233294527,0.6642561312587215
mom21,1개월수익,0.09843474742817557,-0.04418454124528084,0.1480414565319865,-0.19222599777726734,-0.6931422074313026
mom63,3개월수익,-0.024604773016617038,-0.057334452866791764,-0.013220536546991055,-0.04411391631980071,-0.1560639551241519
mom12_1,12-1모멘텀,-0.13262386948330976,0.029475261811818372,-0.18900617602074563,0.218481437832564,0.6755603729135884
ret5,직전1주수익(반전),0.03276558796881157,-0.024667393077707274,0.05274227702847031,-0.07740967010617758,-0.2141933611898907
sma20gap,SMA20이격,0.11256794850435949,-0.02097487491880411,0.1590176262167642,-0.17999250113556833,-0.7269475567171767
max5_21,복권성(최대급등),-0.24766360497443707,-0.13045358049539746,-0.28843230914105955,0.1579787286456621,0.7214491317671695
upr63,상승일비율63,-0.0178190526451093,0.007918929098320922,-0.02677139412108503,0.034690323219405954,0.30649543624194864
amihud63,비유동성,-0.0017876859371276602,-0.06830191746314868,0.021347698941488358,-0.08964961640463703,-0.36317307214473926
obv63,OBV매집,-0.1644158584066579,-0.10115777193947634,-0.186418671090895,0.08526089915141866,0.49453723958695867
amt20,거래대금20,-0.12506085856969096,-0.022604633273264646,-0.16069780649888274,0.1380931732256181,0.5732106450616972
amt_trend,거래대금팽창,0.039982877504788926,-0.04447266187419175,0.06935871728878219,-0.11383137916297395,-0.6403917481364187
size,시가총액,0.09804383992792554,0.12032995446526279,0.09029214791493867,0.03003780655032412,0.10081685934950813
turn20,회전율,-0.3051878354592938,-0.175186007295544,-0.3504058626466852,0.1752198553511412,0.7276755103828
vol_exp,변동성팽창(std5/21),-0.003648074481844139,0.019559031798693838,-0.011720111448987781,0.03127914324768162,0.16263520985729962
svr5,공매도비중5d,0.1751072721294603,0.15236200806616085,0.18301866832539054,-0.030656660259229696,-0.22998718237218288
credit_rate,신용잔고율,,,,,
dcr20,신용잔고율변화20,,,,,
loanchg5,대차잔고변화5,,,,,
frg5n,외인5d,0.002272978446568119,0.012576252412450434,-0.0013107690198257299,0.013887021432276164,0.05049937290743454
frg20n,외인20d,-0.05283359038778813,-0.0010978986742137264,-0.07082861359250966,0.06973071491829594,0.7260897432356147
ins5n,기관5d,-0.06694342327942672,-0.06322162557725383,-0.06823796161061729,0.005016336033363461,0.12781715114233066
ins20n,기관20d,-0.05247015787850874,-0.07975732391264788,-0.04297896969272121,-0.036778354219926666,-0.23216544969149722
pen5n,연기금5d,-0.0946430044644179,-0.07678919960969927,-0.10085302354432002,0.024063823934620754,0.2724166069457402
pen20n,연기금20d,-0.09153290839516556,-0.08111016366275083,-0.09515821091078808,0.014048047248037251,0.25267348594867783
tru5n,투신5d,-0.04976645488501474,-0.0566335072477465,-0.047377914932760216,-0.009255592314986287,-0.024486065118962508
tru20n,투신20d,-0.03971552507708774,-0.07129112328114293,-0.028732708310459855,-0.04255841497068307,-0.4357955918812653
per5n,개인5d,0.012448977268087854,0.01720296759315185,0.010795415415891673,0.006407552177260177,0.019924621771349172
per20n,개인20d,0.041854230352571964,0.028592650995716017,0.046466953607130546,-0.01787430261141453,-0.37668007697905176
