ticker,name,sector,price,RSI,Stoch_K,BB_pct,drawdown_52w_high_%,distance_to_52w_low_%,return_1w_%,return_1m_%,return_3m_%,vs_SMA20_%,vs_SMA50_%,vs_SMA200_%,volume_vs_avg,52w_high,52w_low,acc_score,acc_signal_vol,acc_signal_return,acc_signal_candle,avg_volume_1w,avg_volume_1m,amt_today_억,amt_avg_1w_억,amt_avg_1m_억,vol_1w_vs_1m_ratio,trend_score,falling_knife,reversal_above_sma5,reversal_rebound_3pct,reversal_vol_up_candle,trend_details,oversold_score,foreign_5d_억,inst_5d_억,foreign_20d_억,inst_20d_억,supply_fetched,supply_score,market_regime,regime_score,regime_kospi_score,regime_fx_score,regime_flow_score,kospi_vs_sma200_%,kospi_return_1m_%,usdkrw,usdkrw_vs_sma20_%,usdkrw_return_1m_%,foreign_kospi_5d_억,foreign_kospi_5d_raw_억,foreign_kospi_5d_adjusted_억,foreign_proxy_success,foreign_proxy_total,foreign_proxy_coverage,stock_score_stage1,composite_score,stock_code,corp_code,danger_count,warning_count,fp_avoided_count,soft_downgraded_count,danger_details,warning_details,fp_avoided_details,soft_downgraded_details,danger_urls,warning_urls,fp_avoided_urls,soft_downgraded_urls,danger_rcept_nos,warning_rcept_nos,risk_level,dart_status
199730,바이오인프라,,1626,17.0,10.8,4.9,-74.3,8.4,-24.7,-47.1,-60.7,-30.3,-46.4,-60.9,1.93,6330,1500,5,True,False,False,45176,24939,0.8,0.8,0.5,1.81,0,False,False,False,False,-,92.5,0.4,-0.0,0.7,0.0,True,8,약세,-9,-7,0,-2,-21.1,-23.3,1479.45,,-3.78,-4374.0,-4374.0,-4374.0,10,10,1.0,105.5,96.5,199730,01110058,0,0,0,0,,,,,,,,,,,안전,SAFE
090360,로보스타,,67000,31.4,19.8,20.3,-61.0,168.5,-0.7,-37.1,15.5,-17.5,-25.6,-11.3,0.43,171600,24950,10,False,True,True,95466,191888,55.3,64.0,166.7,0.5,0,False,False,False,False,-,77.3,15.8,1.4,84.5,62.4,True,15,약세,-9,-7,0,-2,-21.1,-23.3,1479.45,,-3.78,-4374.0,-4374.0,-4374.0,10,10,1.0,102.3,93.3,090360,00536523,0,0,0,0,,,,,,,,,,,안전,SAFE
387570,파인메딕스,,4185,13.5,12.2,22.0,-56.1,4.4,-3.3,-32.2,-34.9,-14.9,-29.9,-41.4,0.52,9530,4010,10,False,True,True,12252,17650,0.4,0.5,0.9,0.69,3,False,False,True,False,+3%반등,80.7,0.1,-0.0,2.4,0.0,True,8,약세,-9,-7,0,-2,-21.1,-23.3,1479.45,,-3.78,-4374.0,-4374.0,-4374.0,10,10,1.0,101.7,92.7,387570,01455410,0,0,0,0,,,,,,,,,,,안전,SAFE
397030,에이프릴바이오,,26450,27.7,18.2,20.1,-65.5,59.5,0.2,-39.2,-50.0,-21.4,-43.4,-45.3,0.52,76700,16580,10,False,True,True,221769,399016,54.1,57.3,142.8,0.56,3,False,True,False,False,5일선회복,79.9,39.3,-15.0,121.7,-34.0,True,8,약세,-9,-7,0,-2,-21.1,-23.3,1479.45,,-3.78,-4374.0,-4374.0,-4374.0,10,10,1.0,100.9,91.9,397030,01375822,0,3,0,0,,[20260625] 주요사항보고서(유상증자결정) (20260625000002) || [20260625] 주요사항보고서(유상증자결정) (20260625000001) || [20260625] 주요사항보고서(유상증자결정) (20260624000512),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260625000002 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260625000001 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260624000512,,,,20260625000002 || 20260625000001 || 20260624000512,주의,SAFE
163730,핑거,,8840,28.7,23.7,23.1,-65.5,12.0,-2.8,-41.1,-21.2,-18.3,-41.3,-29.0,1.31,25650,7890,10,False,True,True,95600,92483,10.8,8.4,10.1,1.03,4,False,False,False,True,거래량동반양봉,78.9,1.9,0.0,18.9,0.5,True,8,약세,-9,-7,0,-2,-21.1,-23.3,1479.45,,-3.78,-4374.0,-4374.0,-4374.0,10,10,1.0,100.9,91.9,163730,01142075,0,8,0,0,,[20260630] [기재정정]주요사항보고서(신주인수권부사채권발행결정) (20260630001073) || [20260605] [기재정정]주요사항보고서(유상증자결정) (20260605000113) || [20260521] 최대주주변경               (20260521900719),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260630001073 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260605000113 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260521900719,,,,20260630001073 || 20260605000113 || 20260521900719,주의,SAFE
200470,에이팩트,,5600,24.0,19.2,28.2,-57.3,152.3,6.7,-52.5,-15.4,-25.8,-34.8,-21.1,0.67,13100,2220,10,False,True,True,456187,770023,27.0,24.7,65.9,0.59,6,False,True,True,False,5일선회복/+3%반등,76.4,-21.1,0.9,-43.3,-4.7,True,8,약세,-9,-7,0,-2,-21.1,-23.3,1479.45,,-3.78,-4374.0,-4374.0,-4374.0,10,10,1.0,100.4,91.4,200470,00667425,0,11,0,0,,[20260626] [기재정정]주요사항보고서(전환사채권발행결정) (20260626000406) || [20260622] 최대주주변경을수반하는주식담보제공계약체결               (20260622900881) || [20260622] 최대주주변경               (20260622900880),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260626000406 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260622900881 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260622900880,,,,20260626000406 || 20260622900881 || 20260622900880,주의,SAFE
356680,엑스게이트,,11740,23.1,21.3,26.9,-61.6,92.5,7.4,-32.1,52.7,-20.7,-31.4,11.5,0.41,30550,6100,10,False,True,True,764454,1552219,75.0,87.8,273.5,0.49,6,False,True,True,False,5일선회복/+3%반등,76.4,18.5,-0.3,80.7,5.5,True,8,약세,-9,-7,0,-2,-21.1,-23.3,1479.45,,-3.78,-4374.0,-4374.0,-4374.0,10,10,1.0,100.4,91.4,356680,01372782,0,0,0,0,,,,,,,,,,,안전,SAFE
014950,삼익제약,,4290,12.8,9.8,24.8,-82.9,15.8,1.9,-35.4,-57.1,-30.0,-36.5,,0.68,25050,3705,5,False,True,False,1166583,3494303,101.7,47.3,274.1,0.33,7,False,True,False,True,5일선회복/거래량동반양봉,80.1,-0.7,0.3,9.5,-13.8,True,8,약세,-9,-7,0,-2,-21.1,-23.3,1479.45,,-3.78,-4374.0,-4374.0,-4374.0,10,10,1.0,100.1,91.1,014950,00127875,0,0,0,0,,,,,,,,,,,안전,SAFE
043260,성호전자,,20100,31.9,15.0,27.6,-66.3,1868.7,7.5,-50.5,-58.1,-23.5,-44.2,-12.4,0.64,59600,1021,10,False,True,True,1910359,2835953,353.2,382.8,769.2,0.67,6,False,True,True,False,5일선회복/+3%반등,74.9,0.9,-16.0,691.0,-316.1,True,8,약세,-9,-7,0,-2,-21.1,-23.3,1479.45,,-3.78,-4374.0,-4374.0,-4374.0,10,10,1.0,98.9,89.9,043260,00317210,0,23,0,0,,[20260710] 기타경영사항(자율공시)              (제14회차 신주인수권부사채 만기전 취득 후 재매각 결정) (20260710900979) || [20260710] [기재정정]최대주주변경을수반하는주식담보제공계약체결               (20260710900920) || [20260709] [기재정정]최대주주변경을수반하는주식담보제공계약체결               (20260709900708),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260710900979 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260710900920 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260709900708,,,,20260710900979 || 20260710900920 || 20260709900708,주의,SAFE
160190,하이젠알앤엠,,16350,33.2,23.1,20.9,-82.1,11.9,-2.1,-41.2,-56.5,-18.3,-42.6,-65.9,0.75,91200,14610,10,False,True,True,68259,75497,9.3,11.2,15.5,0.9,0,False,False,False,False,-,73.6,0.4,1.3,25.4,1.7,True,15,약세,-9,-7,0,-2,-21.1,-23.3,1479.45,,-3.78,-4374.0,-4374.0,-4374.0,10,10,1.0,98.6,89.6,160190,00650771,0,0,0,0,,,,,,,,,,,안전,SAFE
