ticker,name,sector,price,RSI,Stoch_K,BB_pct,drawdown_52w_high_%,distance_to_52w_low_%,return_1w_%,return_1m_%,return_3m_%,vs_SMA20_%,vs_SMA50_%,vs_SMA200_%,volume_vs_avg,52w_high,52w_low,acc_score,acc_signal_vol,acc_signal_return,acc_signal_candle,avg_volume_1w,avg_volume_1m,amt_today_억,amt_avg_1w_억,amt_avg_1m_억,vol_1w_vs_1m_ratio,trend_score,falling_knife,reversal_above_sma5,reversal_rebound_3pct,reversal_vol_up_candle,trend_details,oversold_score,foreign_5d_억,inst_5d_억,foreign_20d_억,inst_20d_억,supply_fetched,supply_score,market_regime,regime_score,regime_kospi_score,regime_fx_score,regime_flow_score,kospi_vs_sma200_%,kospi_return_1m_%,usdkrw,usdkrw_vs_sma20_%,usdkrw_return_1m_%,foreign_kospi_5d_억,foreign_kospi_5d_raw_억,foreign_kospi_5d_adjusted_억,foreign_proxy_success,foreign_proxy_total,foreign_proxy_coverage,stock_score_stage1,composite_score
327260,RF머트리얼즈,,22450,30.1,4.8,12.2,-82.3,305.0,-2.6,-60.8,-78.7,-46.5,-64.6,-52.4,1.75,126600,5543,15,True,True,True,390668,222758,89.7,94.4,85.2,1.75,0,False,False,False,False,-,88.7,7.7,31.9,-59.6,35.7,True,15,약세,-6,-7,1,0,-25.2,-17.7,1459.42,-2.94,-5.63,-971.0,-971.0,-971.0,10,10,1.0,118.7,112.7
106080,케이이엠텍,,1650,15.1,21.0,14.4,-87.8,30.4,-8.3,-45.5,-67.2,-33.5,-49.8,,3.51,13500,1265,15,True,True,True,284862,182991,10.9,4.6,4.3,1.56,4,False,False,False,True,거래량동반양봉,91.5,0.0,0.0,0.0,0.0,True,0,약세,-6,-7,1,0,-25.2,-17.7,1459.42,-2.94,-5.63,-971.0,-971.0,-971.0,10,10,1.0,110.5,104.5
199730,바이오인프라,,1569,22.9,8.0,17.7,-75.2,4.6,-4.0,-40.8,-63.4,-21.5,-43.1,-61.3,2.23,6330,1500,10,True,True,False,194334,67316,2.5,3.4,1.2,2.89,3,False,False,True,False,+3%반등,89.1,0.3,0.0,1.1,0.0,True,8,약세,-6,-7,1,0,-25.2,-17.7,1459.42,-2.94,-5.63,-971.0,-971.0,-971.0,10,10,1.0,110.1,104.1
950160,코오롱티슈진,,15000,13.6,0.3,-5.8,-89.9,1.7,-75.8,-85.2,-85.3,-79.5,-83.7,-82.2,14.88,149000,14750,5,True,False,False,5275569,1628639,3791.7,857.2,508.0,3.24,4,False,False,False,True,거래량동반양봉,100.0,-122.5,-97.2,31.1,-265.7,True,0,약세,-6,-7,1,0,-25.2,-17.7,1459.42,-2.94,-5.63,-971.0,-971.0,-971.0,10,10,1.0,109.0,103.0
008470,부스타,,1726,26.4,5.5,22.0,-59.9,7.9,3.4,-47.4,-56.6,-34.9,-43.9,-53.7,0.32,4300,1600,5,False,True,False,52437,42813,0.2,0.9,1.1,1.22,6,False,True,True,False,5일선회복/+3%반등,81.2,0.1,0.3,0.2,0.4,True,15,약세,-6,-7,1,0,-25.2,-17.7,1459.42,-2.94,-5.63,-971.0,-971.0,-971.0,10,10,1.0,107.2,101.2
373200,엑스플러스,,1423,11.8,12.4,17.8,-74.0,16.6,1.1,-46.6,-63.1,-35.5,-46.9,-52.7,0.29,5475,1220,10,False,True,True,274474,344238,1.5,3.8,5.8,0.8,6,False,True,True,False,5일선회복/+3%반등,82.3,0.9,0.0,3.4,-0.2,True,8,약세,-6,-7,1,0,-25.2,-17.7,1459.42,-2.94,-5.63,-971.0,-971.0,-971.0,10,10,1.0,106.3,100.3
136150,원일티엔아이,,7250,28.3,7.8,27.1,-75.2,5.8,-2.9,-28.3,-57.9,-16.5,-34.2,-57.5,0.26,29200,6850,10,False,True,True,12943,33395,0.6,0.9,3.0,0.39,6,False,True,True,False,5일선회복/+3%반등,78.3,0.6,-0.2,2.2,-0.3,True,8,약세,-6,-7,1,0,-25.2,-17.7,1459.42,-2.94,-5.63,-971.0,-971.0,-971.0,10,10,1.0,102.3,96.3
295310,에이치브이엠,,39050,19.5,8.5,20.3,-72.9,77.9,-6.1,-29.3,-56.9,-18.2,-48.7,-40.4,0.41,144000,21950,5,False,True,False,69212,156345,24.4,27.4,80.4,0.44,0,False,False,False,False,-,81.5,5.5,0.9,-48.5,62.6,True,15,약세,-6,-7,1,0,-25.2,-17.7,1459.42,-2.94,-5.63,-971.0,-971.0,-971.0,10,10,1.0,101.5,95.5
027360,아주IB투자,,3235,29.1,11.9,21.9,-83.8,69.1,-4.3,-35.3,-73.3,-17.4,-60.0,-46.4,0.43,19950,1913,5,False,True,False,673112,1334599,17.5,22.0,56.1,0.5,0,False,False,False,False,-,80.8,1.0,0.7,43.2,-0.0,True,15,약세,-6,-7,1,0,-25.2,-17.7,1459.42,-2.94,-5.63,-971.0,-971.0,-971.0,10,10,1.0,100.8,94.8
348340,뉴로메카,,26800,30.7,2.7,8.2,-79.8,40.7,-11.8,-30.8,-59.6,-17.2,-38.3,-44.5,1.19,132453,19048,5,True,False,False,261759,144348,46.5,76.4,45.9,1.81,0,False,False,False,False,-,86.6,5.6,-59.2,68.6,-35.1,True,8,약세,-6,-7,1,0,-25.2,-17.7,1459.42,-2.94,-5.63,-971.0,-971.0,-971.0,10,10,1.0,99.6,93.6
