ticker,name,sector,price,RSI,Stoch_K,BB_pct,drawdown_52w_high_%,distance_to_52w_low_%,return_1w_%,return_1m_%,return_3m_%,vs_SMA20_%,vs_SMA50_%,vs_SMA200_%,volume_vs_avg,52w_high,52w_low,acc_score,acc_signal_vol,acc_signal_return,acc_signal_candle,avg_volume_1w,avg_volume_1m,amt_today_억,amt_avg_1w_억,amt_avg_1m_억,vol_1w_vs_1m_ratio,trend_score,falling_knife,reversal_above_sma5,reversal_rebound_3pct,reversal_vol_up_candle,trend_details,oversold_score,foreign_5d_억,inst_5d_억,foreign_20d_억,inst_20d_억,supply_fetched,supply_score,market_regime,regime_score,regime_kospi_score,regime_fx_score,regime_flow_score,kospi_vs_sma200_%,kospi_return_1m_%,usdkrw,usdkrw_vs_sma20_%,usdkrw_return_1m_%,foreign_kospi_5d_억,foreign_kospi_5d_raw_억,foreign_kospi_5d_adjusted_억,foreign_proxy_success,foreign_proxy_total,foreign_proxy_coverage,stock_score_stage1,composite_score,stock_code,corp_code,danger_count,warning_count,fp_avoided_count,soft_downgraded_count,danger_details,warning_details,fp_avoided_details,soft_downgraded_details,danger_urls,warning_urls,fp_avoided_urls,soft_downgraded_urls,danger_rcept_nos,warning_rcept_nos,risk_level,dart_status
002220,한일철강,,3020,25.6,2.8,-22.9,-53.3,12.9,-28.1,-33.8,-34.5,-26.2,-35.2,-32.8,2.4,6470,2675,5,True,False,False,365694,244177,18.1,12.5,9.6,1.5,0,False,False,False,False,-,97.0,7.2,0.0,1.1,0.0,True,8,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,110.0,112.0,002220,00163196,0,0,0,0,,,,,,,,,,,안전,SAFE
002020,코오롱,,25900,16.4,10.3,10.3,-70.6,12.4,-23.5,-46.0,-56.8,-34.4,-48.1,-51.5,1.24,88200,23050,10,True,False,True,430337,141266,47.0,106.6,41.9,3.05,0,False,False,False,False,-,87.0,68.3,-125.9,67.4,-91.9,True,8,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,105.0,107.0,002020,00152862,0,5,0,0,,[20260406] [기재정정]유상증자또는주식관련사채등의발행결과(자율공시)               (20260406801050) || [20260406] [기재정정]유상증자또는주식관련사채등의발행결과(자율공시)               (20260406801026) || [20260406] 유상증자또는주식관련사채등의발행결과(자율공시)               (20260406800965),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260406801050 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260406801026 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260406800965,,,,20260406801050 || 20260406801026 || 20260406800965,주의,SAFE
051630,진양화학,,1112,26.4,0.3,-12.9,-68.4,0.2,-29.4,-40.5,-50.1,-30.4,-38.3,-51.8,1.27,3515,1110,5,True,False,False,877660,301170,4.4,10.8,4.1,2.91,0,False,False,False,False,-,91.3,1.1,-0.0,-0.6,0.0,True,8,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,104.3,106.3,051630,00347734,0,0,0,0,,,,,,,,,,,안전,SAFE
092220,KEC,,2575,24.2,15.4,17.9,-75.4,7.1,-5.0,-34.8,-69.4,-16.3,-41.9,-44.2,0.64,10450,2405,5,False,True,False,349078,384392,6.2,9.0,12.0,0.91,0,False,False,False,False,-,81.5,1.8,0.1,17.8,-1.5,True,15,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,101.5,103.5,092220,00589127,0,1,0,0,,[20260304] 주식병합결정               (20260304801566),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260304801566,,,,20260304801566,주의,SAFE
000660,SK하이닉스,,1759000,30.2,9.9,19.1,-41.1,618.0,-4.5,-31.8,43.7,-18.0,-20.0,53.6,0.82,2987000,245000,10,False,True,True,4874667,6080977,86816.7,88518.8,132732.4,0.8,3,False,False,True,False,+3%반등,78.5,9263.8,-24267.7,-130021.6,-63841.5,True,8,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,99.5,101.5,000660,00164779,0,8,0,0,,[20260715] 유상증자또는주식관련사채등의발행결과(자율공시)               (20260715800045) || [20260710] [기재정정]주요사항보고서(유상증자결정) (20260710000008) || [20260706] [기재정정]주요사항보고서(유상증자결정) (20260706000403),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260715800045 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260710000008 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260706000403,,,,20260715800045 || 20260710000008 || 20260706000403,주의,SAFE
035000,HS애드,,5940,17.7,14.2,28.3,-37.3,3.3,1.2,-12.9,-29.8,-6.7,-14.2,-27.7,2.84,9480,5750,10,True,True,False,266874,128507,22.6,15.7,7.8,2.08,7,False,True,False,True,5일선회복/거래량동반양봉,73.2,-36.0,5.3,-67.5,3.3,True,8,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,98.2,100.2,035000,00140168,0,0,0,0,,,,,,,,,,,안전,SAFE
003780,진양산업,,4070,30.6,9.8,-9.9,-49.7,2.5,-12.1,-15.9,-28.7,-11.5,-17.4,-32.3,1.63,8090,3970,5,True,False,False,243989,108175,7.3,10.3,4.8,2.26,0,False,False,False,False,-,85.1,0.1,-0.0,3.4,0.0,True,8,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,98.1,100.1,003780,00150439,0,0,0,0,,,,,,,,,,,안전,SAFE
032350,롯데관광개발,,11620,25.7,23.0,21.5,-58.1,14.5,0.5,-21.5,-41.1,-14.9,-28.4,-40.5,0.73,27700,10150,10,False,True,True,477604,710087,61.3,53.8,91.5,0.67,6,False,True,True,False,5일선회복/+3%반등,73.9,26.6,-3.9,-11.9,-183.2,True,8,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,97.9,99.9,032350,00231372,0,2,0,0,,[20251022] [기재정정]주요사항보고서(전환사채권발행결정) (20251022000296) || [20251020] [기재정정]주요사항보고서(전환사채권발행결정) (20251020000141),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251022000296 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251020000141,,,,20251022000296 || 20251020000141,주의,SAFE
011070,LG이노텍,,625000,25.2,10.5,21.8,-65.0,320.9,-6.4,-34.7,47.1,-18.0,-33.4,37.0,0.5,1788000,148500,5,False,True,False,187917,285966,899.1,1198.0,2226.3,0.66,3,False,False,True,False,+3%반등,81.2,248.5,-231.1,8422.5,-6517.3,True,8,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,97.2,99.2,011070,00105961,0,0,0,0,,,,,,,,,,,안전,SAFE
210980,SK디앤디,,5520,5.2,3.2,16.6,-60.0,3.8,-2.1,-50.3,-57.3,-40.0,-48.8,-55.0,1.09,13810,5320,5,False,True,False,130278,138390,8.7,7.3,9.3,0.94,0,False,False,False,False,-,83.8,0.6,-3.6,-1.6,-36.1,True,8,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,96.8,98.8,210980,00508344,0,2,0,0,,[20251031] 최대주주변경               (20251031800945) || [20251031] 최대주주등소유주식변동신고서(최대주주변경시)               (20251031800949),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251031800945 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251031800949,,,,20251031800945 || 20251031800949,주의,SAFE
