ticker,name,sector,price,RSI,Stoch_K,BB_pct,drawdown_52w_high_%,distance_to_52w_low_%,return_1w_%,return_1m_%,return_3m_%,vs_SMA20_%,vs_SMA50_%,vs_SMA200_%,volume_vs_avg,52w_high,52w_low,acc_score,acc_signal_vol,acc_signal_return,acc_signal_candle,avg_volume_1w,avg_volume_1m,amt_today_억,amt_avg_1w_억,amt_avg_1m_억,vol_1w_vs_1m_ratio,trend_score,falling_knife,reversal_above_sma5,reversal_rebound_3pct,reversal_vol_up_candle,trend_details,oversold_score,foreign_5d_억,inst_5d_억,foreign_20d_억,inst_20d_억,supply_fetched,supply_score,market_regime,regime_score,regime_kospi_score,regime_fx_score,regime_flow_score,kospi_vs_sma200_%,kospi_return_1m_%,usdkrw,usdkrw_vs_sma20_%,usdkrw_return_1m_%,foreign_kospi_5d_억,foreign_kospi_5d_raw_억,foreign_kospi_5d_adjusted_억,foreign_proxy_success,foreign_proxy_total,foreign_proxy_coverage,stock_score_stage1,composite_score,stock_code,corp_code,danger_count,warning_count,fp_avoided_count,soft_downgraded_count,danger_details,warning_details,fp_avoided_details,soft_downgraded_details,danger_urls,warning_urls,fp_avoided_urls,soft_downgraded_urls,danger_rcept_nos,warning_rcept_nos,risk_level,dart_status
114090,GKL,,9180,28.8,7.0,-16.2,-48.9,1.4,-10.4,-21.5,-23.2,-13.0,-18.1,-30.3,5.81,17970,9050,5,True,False,False,439737,261995,141.7,41.8,27.0,1.68,0,False,False,False,False,-,95.3,8.5,-56.3,-78.4,-53.0,True,8,조정,-5,-2,0,-3,22.1,-23.1,1479.52,,-3.77,-11020.0,-11020.0,-11020.0,10,10,1.0,108.3,103.3,114090,00557508,0,0,0,0,,,,,,,,,,,안전,SAFE
032350,롯데관광개발,,11800,33.7,15.2,-20.3,-57.4,8.0,-23.8,-34.5,-29.6,-21.3,-31.6,-40.3,7.74,27700,10930,5,True,False,False,1343199,651915,612.8,166.4,91.0,2.06,0,False,False,False,False,-,93.1,85.6,-255.0,21.3,-279.7,True,8,조정,-5,-2,0,-3,22.1,-23.1,1479.52,,-3.77,-11020.0,-11020.0,-11020.0,10,10,1.0,106.1,101.1,032350,00231372,0,2,0,0,,[20251022] [기재정정]주요사항보고서(전환사채권발행결정) (20251022000296) || [20251020] [기재정정]주요사항보고서(전환사채권발행결정) (20251020000141),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251022000296 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251020000141,,,,20251022000296 || 20251020000141,주의,SAFE
210980,SK디앤디,,6300,7.9,0.7,-35.4,-54.4,0.6,-44.0,-45.8,-50.8,-42.3,-45.8,-49.2,9.49,13810,6260,5,True,False,False,312845,87630,54.2,22.2,6.8,3.57,0,False,False,False,False,-,100.0,-2.3,-33.0,-2.2,-31.5,True,0,조정,-5,-2,0,-3,22.1,-23.1,1479.52,,-3.77,-11020.0,-11020.0,-11020.0,10,10,1.0,105.0,100.0,210980,00508344,0,2,0,0,,[20251031] 최대주주변경               (20251031800945) || [20251031] 최대주주등소유주식변동신고서(최대주주변경시)               (20251031800949),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251031800945 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251031800949,,,,20251031800945 || 20251031800949,주의,SAFE
034230,파라다이스,,10450,37.0,5.5,-14.6,-56.5,3.0,-19.1,-32.4,-31.1,-20.7,-26.3,-38.0,5.39,24000,10150,5,True,False,False,1337448,838099,473.8,148.1,106.1,1.6,0,False,False,False,False,-,89.5,204.2,-387.6,190.1,-446.1,True,8,조정,-5,-2,0,-3,22.1,-23.1,1479.52,,-3.77,-11020.0,-11020.0,-11020.0,10,10,1.0,102.5,97.5,034230,00171265,0,0,0,0,,,,,,,,,,,안전,SAFE
092790,넥스틸,,11110,28.9,28.4,31.7,-51.7,23.0,5.3,-25.1,-36.9,-11.5,-26.1,-12.1,0.46,23000,9030,10,False,True,True,236973,596904,26.1,25.6,87.5,0.4,6,False,True,True,False,5일선회복/+3%반등,70.3,3.9,0.2,43.8,-4.9,True,15,조정,-5,-2,0,-3,22.1,-23.1,1479.52,,-3.77,-11020.0,-11020.0,-11020.0,10,10,1.0,101.3,96.3,092790,00220613,0,3,0,0,,[20260630] 유상증자또는주식관련사채등의발행결과(자율공시)               (20260630800532) || [20260629] [기재정정]주요사항보고서(전환사채권발행결정) (20260629000433) || [20260622] 주요사항보고서(전환사채권발행결정) (20260622000369),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260630800532 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260629000433 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260622000369,,,,20260630800532 || 20260629000433 || 20260622000369,주의,SAFE
085310,엔케이,,8040,36.0,42.4,32.0,-54.3,15.7,10.6,-19.6,-22.2,-7.1,-18.9,-31.9,1.66,17610,6950,10,False,True,True,30785,25972,3.5,2.4,2.2,1.19,10,False,True,True,True,5일선회복/+3%반등/거래량동반양봉,61.3,1.6,1.9,1.0,1.9,True,15,조정,-5,-2,0,-3,22.1,-23.1,1479.52,,-3.77,-11020.0,-11020.0,-11020.0,10,10,1.0,96.3,91.3,085310,00172228,0,2,0,0,,[20260515] [기재정정]주식병합결정               (20260515803244) || [20260316] 주식병합결정               (20260316800325),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260515803244 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260316800325,,,,20260515803244 || 20260316800325,주의,SAFE
454910,두산로보틱스,,70600,29.7,21.6,18.8,-58.5,23.0,-2.6,-35.2,-19.9,-16.5,-30.7,-21.7,0.83,170000,57400,5,False,True,False,560386,596517,351.0,392.8,513.2,0.94,3,False,True,False,False,5일선회복,79.6,47.4,-13.6,238.6,125.2,True,8,조정,-5,-2,0,-3,22.1,-23.1,1479.52,,-3.77,-11020.0,-11020.0,-11020.0,10,10,1.0,95.6,90.6,454910,01105153,0,1,0,0,,[20260326] 유상증자결정(종속회사의주요경영사항)               (20260326803368),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260326803368,,,,20260326803368,주의,SAFE
020150,롯데에너지머티리얼즈,,34200,34.3,22.1,23.8,-58.8,58.3,6.7,-40.7,-27.8,-15.5,-35.1,-17.1,0.56,83100,21600,10,False,True,True,205375,244915,47.1,69.0,100.7,0.84,6,False,True,True,False,5일선회복/+3%반등,71.0,-14.3,2.4,120.6,-143.7,True,8,조정,-5,-2,0,-3,22.1,-23.1,1479.52,,-3.77,-11020.0,-11020.0,-11020.0,10,10,1.0,95.0,90.0,020150,00113997,0,0,0,0,,,,,,,,,,,안전,SAFE
001740,SK네트웍스,,8200,25.1,16.8,16.0,-49.5,91.8,-3.6,-31.7,56.2,-12.7,-16.0,33.9,0.32,16240,4275,5,False,True,False,1919817,4703448,123.8,158.3,472.5,0.41,0,False,False,False,False,-,81.7,59.8,-3.9,315.3,59.9,True,8,조정,-5,-2,0,-3,22.1,-23.1,1479.52,,-3.77,-11020.0,-11020.0,-11020.0,10,10,1.0,94.7,89.7,001740,00131780,0,0,0,0,,,,,,,,,,,안전,SAFE
092220,KEC,,2885,26.1,16.8,9.9,-72.4,7.1,-6.9,-31.0,-67.7,-15.8,-41.3,-37.8,0.54,10450,2695,10,False,True,True,366068,687939,10.8,10.9,25.3,0.53,0,False,False,False,False,-,84.3,-2.0,-0.0,34.8,-1.6,True,0,조정,-5,-2,0,-3,22.1,-23.1,1479.52,,-3.77,-11020.0,-11020.0,-11020.0,10,10,1.0,94.3,89.3,092220,00589127,0,1,0,0,,[20260304] 주식병합결정               (20260304801566),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260304801566,,,,20260304801566,주의,SAFE
